airline,total_scheduled_departures_2024_till_may,flights_cancelled_2024_till_may,cancellation_rate_percent,otp_january,otp_february,otp_march,otp_april,otp_may,avg_otp_jan_may
Air Asia,24563,200,0.81,59.8,73.5,83.0,79.5,74.9,74.14
Air India,58201,696,1.2,47.6,56.4,71.9,72.1,68.4,63.28
Akasa Air,18170,26,0.14,71.8,72.9,84.5,89.2,85.9,80.86
Alliance Air,13889,530,3.82,51.0,48.3,48.6,49.5,58.7,51.22
Fly Big,816,147,18.01,,,,,,
Fly91,396,3,0.76,,,,,,
IndiGo,269567,4423,1.64,60.3,72.7,81.3,76.1,72.8,72.64
Indiaone Air,1670,90,5.39,,,,,,
Spice Jet,23102,422,1.83,37.9,59.1,63.6,64.2,60.7,57.1
Star Air,5517,31,0.56,,,,,,
Vistara,40924,460,1.12,67.8,67.4,76.6,76.2,81.9,73.98
Zoom,104,2,1.92,,,,,,
